type,char,group,def,pinyin
嚴式,毑,"湘,平",1 ①母親：娭～；②祖母：娭～,梅縣=me˦;長沙=ʦie˧;新化=ʨia˨˦;衡阳=ʨi˧;東安=ʨie˥;宜章=mei˨˩
嚴式,毑,客,2 ①母親：娭～；②祖母：娭～,于都=me˧˥;梅縣=me˦
嚴式,孧,閩,細小,海口=niau˥;雷州=niau˥
嚴式,,官,量詞。田畝的計量單位，為二點五平方華里,南通=k ̕uõ˨˩
嚴式,㧫,官,扔：不要了你就～得遠遠的,銀川=ar˥˧
嚴式,挄,官,打；揍,柳州=kuɑŋ˧˩
嚴式,𢬑,閩,拾取；撿,雷州=k ̕iɔ˥;海口=xio˥
嚴式,垌,"官,平",①用於農田，相當於“片”；②田野：～俚（田野中）,柳州=toŋ˨˦;南寧=tøŋ˨;临桂=t ̕əŋ˩˧;寧遠=t ̕iaŋ˨˩
嚴式,𡋙,"贛,閩",①黎川縣城地名；②陶器,黎川=ui˧;福州=hai˥˧;廈門=hui˨;建甌=xo˧
嚴式,鿍,吳,①狹長、聳立的高地；②地名用字；③指人體表的脈管突露,溫州=kuɔ˦˨
嚴式,㰤,吳,睡覺,寧波=k ̕o˦
嚴式,,吳,狹窄；狹隘,溫州=ga˨˩˨
嚴式,甭,官,副詞。不需要，不用：他這戶人你～理他！,濟南=pẽ˦˨，pəŋ˦˨，piŋ˦˨
嚴式,,客,～飯：把剩飯炒熱,梅縣=hok˩
嚴式,眊,"官,晉",看；望,銀川=mɔ˦;南京=mɔo˧˩;萬榮=mɑu˥˩;忻州=mɔ;應縣=mau
嚴式,𨛋,湘,偌～：那裏；那兒,婁底=na˦˨
嚴式,咭,粵,1 卡片,廣州=k ̕at˥
嚴式,咭,贛,2 胳肢，挠人的癢處,南昌=ɕit˥
嚴式,哋,"平,粵",1 ①人稱代詞後綴，表示多數；②爹～：爸爸,南寧=ti˨;東莞=ti˨˩
嚴式,哋,閩,2 喇叭聲,雷州=ti˥
嚴式,𬦠,閩,1 趼子,雷州=nai˨˦
嚴式,𬦠,粵,2 踩，踐踏：～死蟻,廣州=nai˧˥
嚴式,㖃,吳,哭聲,上海=ɦɤ˨˧
嚴式,,吳,軟,寧波=nɐɪ˨˩˧
嚴式,,官,牛、羊等用犄角頂,萬榮=p ̕ɤ˥
嚴式,,平,繩結：子～,临桂=hau˧˥
嚴式,,閩,咱們,海口=naŋ˧;雷州=naŋ˧˩
嚴式,弇,客,鷄～：罩鷄的竹器,梅縣=k ̕em˩
嚴式,,徽,舞～：流行於伏嶺下村當地的類似於舞獅的一種娛樂活動。據傳 是比獅虎還要厉害的猛獸,績溪=fa˦
嚴式,甮,吳,“勿用”的合音詞，表示勸阻或禁止，不要,寧波=vəŋ˨˦
嚴式,昝,官,一～：①立刻；馬上；②現在,柳州=ʦã
嚴式,,"官,平",①膩，受到胳肢或接觸到令人惡心的事物而產生的起鷄皮疙瘩的感覺；②心裏發虛，不踏實；③惡心的感覺,柳州=nēn;南寧=nən˥˧
嚴式,,官,上肢有毛病：～手,成都=ʦua˥˧
嚴式,,贛,①尋：～人不到聚；②收：把牌～攏來,萍乡=sau˩˧
嚴式,洅,吳,心驚肉跳,溫州=ʦai˧˥
嚴式,㳠,吳,打滑,上海=dᴀʔ˨˧
嚴式,洚,官,“就像”的合音詞。常與“是”連用,蘭州=ʨiɔŋ˩˧
嚴式,,客,鷄～：指還沒有下過蛋的母鷄,于都=lɔ̃˨
嚴式,𢭃,"官,粵",①用手托住；②將重物輕輕抬起一些；③扶起，搊起（人）；④給，拿；⑤討要：～利市；⑥湊（聚集）；⑦往一塊兒湊,四川=dou;廣州=tɐu˨;東莞=tau˧˨
嚴式,𫾪,官,～～：鈸，一種打擊樂器,武漢=k̕ua
嚴式,𢬳,平,扽：出力～,南寧=t ̕øk˧
嚴式,垸,湘,圍堤,長沙=yẽ˩
嚴式,䓊,客,～菜：蕹菜,于都=əŋ˨
嚴式,𰱗,閩,絲瓜,福州=ʦ ̕ɔ˨˩˨
嚴式,厝,"閩,客,徽",①家；②房子,福州=ʦ ̕uɔ˨˩˨;廈門=ʦ ̕u˨˩;建甌=ʦ ̕iɔ˧;于都=t ̕uẽ˦;績溪=ʦ ̕ã˦
嚴式,𧗩,湘,～子：雙足殘廢的人（通稱）,婁底=la˦
嚴式,,贛,差一點，差不多,黎川=ʨiʔ˥
嚴式,孬,"官,徽",1 ①調皮搗蛋；②不好；差；③傻子,濟南=nɔ;洛陽=nɔ˧;黄山湯口=nɔ˥
嚴式,孬,官,2 ①調皮搗蛋；②不好；差；③傻子,四川=pie
嚴式,,官,“大”ta˨˩ 的白讀，是“大”的一種俗寫,南通=t ̕ʊ˨˩˧
嚴式,䀦,"官,湘",瞪大眼睛,四川=ɡǔ;長沙=ku˦˩;新化=ku˨˦
嚴式,𠲵,粵,澀味：啲柿未熟得透，好～,廣州=kip˧
嚴式,唓,官,～咧婆：長舌婦，也指沒有本事又愛出風頭的女人,柳州=ʦ ̕e˦
嚴式,唔,"贛,客,粵,吳,閩,湘",①你；②你們；③表示疑问，相當於“不”，否定副詞,都昌=n;于都=ŋ̍˦;梅縣=m˩;連城=ŋ˧;廣州=m˨˩̩ ;東莞=m˨˩̩ ;上海=ɦm˨˧̩ ;蘇州=n˥，n˧˩，m˩˧;溫州=n̩˧˩;寧波=m̩˦;廈門=m̩˩;福州=ŋ̍;建甌=eiŋ˥;雷州=m˨˦̩ ;新化=n˧
嚴式,趷,粵,一拐一拐地走路,廣州=kat˥
嚴式,𪽏,粵,塊，畦。用於田地,廣州=lɛŋ˨
嚴式,𠴊,粵,嘟噥,廣州=løy˨˦
嚴式,哬,粵,～～聲：人聲鼎沸,廣州=hœ˨˩
嚴式,𪡇,晉,第二人稱復數，相當于北京話的“你們”,忻州=niɛ
嚴式,,閩,撲克牌,雷州=p ̕ɛ˥
嚴式,㿮,粵,青～：青蛙的一種,廣州=ɔŋ˧
嚴式,𦊏,平,將地分成較小塊的畦：起～,南寧=mu˨˦
嚴式,毨,吳,禽類、鳥類用嘴整理羽毛,寧波=sœʏ˧˥
嚴式,𤭇,官,量米筒,柳州=guā
嚴式,,閩,籃子的提手,建甌=kuiŋ˦˨
嚴式,倈,平,1 兄弟：兄～,寧遠=lia˥˧
嚴式,倈,吳,2 ①表示少量事物或性狀；②用在“幾”之後，表示數量的多少；③在“有”之後表示不確定的人或事物；④有時也用在某些代詞之後，表示複數；⑤動詞。表示人或事物的位置，在；⑥介詞。表示處所，在,金華=lɛ;溫州=le˧˩
嚴式,𠊎,客,我，第一人稱單數,于都=ŋai˨˦;梅縣=ŋai˩;連城=ŋuə˥;清流=ŋa˨
嚴式,㸠,吳,竹床,上海=diɔ˨˧
嚴式,恁,"官,閩,吳,粵",①用在我、你、他後面表示複數，相當於普通話中的“們”；②“那 ”的合音，那麼；那樣；③表示約數的前加成分；④思，想，考慮,洛陽=nən˦˩˨;南通=•nɛ̃;柳州=nɐn˨˦;廈門=lin˥˧;上海=nən˨˧;蘇州=nən˧˩;溫州=naŋ;廣州=nɐm˧˥
嚴式,𠉫,平,散步：我哋～一陣子,南寧=kuaŋ˨
嚴式,倽,閩,1 男人：丈夫～,永安=sɔ˧;沙縣=sia˦˩;三明=sa˦˩
嚴式,倽,閩,2 “啥人”的合音,廈門=siaŋ˧˥
嚴式,,官,囉唆：倫～,柳州=ʦɐn˧˩
嚴式,胲,閩,禽鳥類消化器官的一部分,福州=kai˥
嚴式,䧱,徽,石～：本地地名,績溪=k ̕uɔ˨
嚴式,㾎,吳,①凹；②（聲音）沙啞,溫州=ha
嚴式,,平,水洼,江永=tuoɯ˥
嚴式,㳬,贛,水中漩渦,瀏陽=ʨ ̕iĩ˩
嚴式,浫,吳,液體被物吸收並滲透,寧波=həŋ˦
嚴式,𬇴,閩,（湯汁）濃，稠,福州=kyʔ˥
嚴式,,官,充，添，灌,武漢=ʦuaŋ˧˥
嚴式,涊,吳,1 完全，徹底,溫州=ȵiaŋ˨˦
嚴式,涊,粵,2 污濁，髒：睇～眼,廣州=nɐn˧˥
嚴式,,閩,停放待葬的棺材的房子,福州=tiŋ˥
嚴式,冧,粵,①倒塌；②～巴：號碼,廣州=lɐm˧;東莞=ŋɐm˨˩˧
嚴式,堲,官,土坯，把黏土放在模型裏製成的方形土塊，可用來盤炕、砌墻,牟平=ʨi˨˩˧
嚴式,𰍻,官,①指顔色白得難看：白～～；②指人無學識、草包：白～～,四川=ts ̕ua˧
嚴式,,閩,排泄糞便,建甌=nuɛ˧
嚴式,,吳,“弗用”的合音。①副詞。不用，不必；②不要，別,金華=foŋ˥
嚴式,孭,"粵,平",背負,廣州=mɛ˥˧;南寧=me˥
嚴式,,吳,可睡人也可當桌子用的木傢俱,無錫=diɐ˧˩，diæ˨˩，diɔ˧˩
嚴式,𫲦,"官,平",排行最小的：～崽（最小的兒子）,柳州=mǎn;南寧=met˥
嚴式,䧒,粵,軟～～：（身體）軟綿綿的，無力貌,廣州=lai˨˩
嚴式,㝃,官,排行最小的：～娘（最小的姑母）,柳州=mã
嚴式,,閩,男的,雷州=pɛu˨˦
嚴式,娒,"吳,平",①伯母；②嬰兒；孩童,蘇州=mᴇ˥;溫州=mai˧;宜章=mei˦
嚴式,,官,①一種酒壜；②量詞。僅用於酒，容量指用“ ”裝的一壜，農村舊稱十五斤,柳州=hæ
嚴式,埡,官,兩山之間可通行的狹窄地方：～口,成都=ia˥
嚴式,,客,高～：指山頂的平地或斜坡上的田地,于都=p ̕æ˦
嚴式,掹,"粵,平",①拔：～鷄毛；②扽：～好啲衫（把衣服拉好一點兒）③有腳力；能奔走，會辦事,廣州=maŋ˥;南寧=məŋ˥˧
嚴式,桲,官,～欏墩子：叢生的櫟樹,牟平=po˨˧˩
嚴式,㲀,吳,敲擊使牢固,上海=ʦən˥
嚴式,硄,官,（隨便地）磨一磨,四川=kuaN
嚴式,,徽, ～眼：眼珠子深陷在眼眶裏邊的眼睛,績溪=iã˧˩
嚴式,𠶲,"粵,客",①上下牙咬合；②壓著，夾著；③緊盯不放；嗑：～瓜子,廣州=k̕ap˨;梅縣=k̕ap˩
嚴式,,官,亂動：這孩子睡覺～得很,四川=bǎn
